University Name,Min GPA,Min IELTS,Required Extracurriculars,Engineering Credit Transfer,Science Credit Transfer,Business Credit Transfer,Additional Requirements
Massachusetts Institute of Technology (MIT),4.0,7.5,2,"ELEC 4440, MECH 5500, CHEM 5560","BIOL 2200, CHEM 1110, PHYS 3030, MATH 4420","ACCT 2200, FINA 1110, FINA 4410",Language proficiency certificate. Standardized test scores. Prior research experience
Stanford University,3.9,7.4,1,"CHEM 2230, MECH 5500, ELEC 3330, MECH 1100, MECH 2200, CHEM 4450, ELEC 4440","CHEM 5510, MATH 5520, CHEM 4410, PHYS 3030","ACCT 2200, FINA 5510, BUSI 3030, MKTG 1120, FINA 1110",Research proposal. Interview required. Language proficiency certificate
University of Oxford,3.9,7.3,3,"CHEM 1120, CHEM 5560, MECH 1100, MECH 2200","CHEM 5510, MATH 4420, MATH 5520, CHEM 3310, MATH 3320, CHEM 4410, MATH 2220, BIOL 4400","FINA 1110, FINA 4410, MKTG 2220, FINA 5510, FINA 2210, BUSI 3030, ACCT 5500, ACCT 3300",Language proficiency certificate
University of Cambridge,3.8,7.2,5,"ELEC 3330, ENGR 5050, MECH 4400, ENGR 3030, CHEM 4450, MECH 2200, ENGR 4040, MECH 3300","PHYS 2020, BIOL 1100, PHYS 5050, CHEM 3310, PHYS 4040, BIOL 2200, PHYS 1010, BIOL 5500","MKTG 1120, BUSI 4040, FINA 1110, MKTG 3320, MKTG 5520, FINA 5510, ACCT 2200",Language proficiency certificate. Interview required. Specific course prerequisites
ETH Zurich,3.7,7.1,4,"MECH 4400, CHEM 2230, CHEM 4450, MECH 3300, CHEM 5560, ENGR 4040, CHEM 3340, MECH 5500","CHEM 5510, BIOL 1100, BIOL 2200, PHYS 4040","FINA 4410, MKTG 5520, ACCT 1100",Specific course prerequisites. Community service
Imperial College London,3.7,7.0,4,"MECH 4400, CHEM 3340, ELEC 2220, ELEC 1110, CHEM 1120, ENGR 4040, CHEM 5560","PHYS 3030, PHYS 5050, CHEM 5510, MATH 1120, MATH 3320","FINA 3310, ACCT 2200, ACCT 5500, MKTG 1120, ACCT 3300, MKTG 2220, MKTG 3320",Language proficiency certificate. Research proposal
University of Tokyo,3.6,6.9,5,"CHEM 1120, CHEM 3340, ENGR 1010, ELEC 3330, ENGR 3030","MATH 1120, PHYS 2020, PHYS 3030, CHEM 1110, CHEM 5510, CHEM 2210, PHYS 4040","ACCT 2200, ACCT 5500, FINA 2210, MKTG 3320, FINA 1110, MKTG 1120, BUSI 5050, FINA 5510",Language proficiency certificate. Portfolio submission
National University of Singapore,3.5,6.8,5,"CHEM 2230, ELEC 2220, ENGR 1010, ENGR 3030, MECH 3300, ELEC 3330","PHYS 4040, BIOL 2200, CHEM 4410, MATH 3320, PHYS 3030, PHYS 5050, BIOL 3300","FINA 5510, ACCT 3300, MKTG 1120, MKTG 3320",Statement of purpose
"University of California, Berkeley",3.5,6.7,2,"ENGR 4040, CHEM 3340, CHEM 4450","BIOL 4400, PHYS 4040, MATH 1120, BIOL 1100","MKTG 5520, MKTG 1120, FINA 2210, ACCT 1100",Prior research experience. Community service
Harvard University,3.4,6.6,3,"MECH 1100, ELEC 1110, ELEC 3330, ENGR 4040, ENGR 3030, ENGR 1010","PHYS 5050, BIOL 3300, CHEM 3310, CHEM 1110, BIOL 4400, PHYS 2020, BIOL 2200, CHEM 4410","BUSI 1010, ACCT 1100, FINA 5510, FINA 1110, BUSI 2020, ACCT 3300, MKTG 4420, MKTG 5520",Language proficiency certificate
University of Toronto,3.3,6.5,5,"ENGR 5050, MECH 3300, ENGR 3030, MECH 2200, ENGR 4040, MECH 1100, MECH 4400","CHEM 4410, PHYS 1010, CHEM 3310","MKTG 4420, MKTG 5520, ACCT 2200",Minimum credit hours completed. Leadership experience. Specific course prerequisites
University of British Columbia,3.3,6.4,1,"ELEC 1110, ELEC 5550, ENGR 1010","PHYS 5050, BIOL 3300, MATH 1120, CHEM 3310, MATH 4420","FINA 3310, FINA 2210, ACCT 4400, ACCT 2200, FINA 4410",Letter of recommendation from a professor
University of Melbourne,3.2,6.3,2,"MECH 5500, MECH 1100, ELEC 3330, CHEM 3340, ELEC 4440","PHYS 2020, MATH 3320, BIOL 5500, BIOL 1100, BIOL 4400, MATH 4420, MATH 5520","MKTG 5520, FINA 5510, FINA 4410, ACCT 1100, ACCT 2200, BUSI 4040, BUSI 5050",Prior research experience
University of Sydney,3.1,6.2,4,"CHEM 2230, ELEC 5550, ELEC 4440, ENGR 4040, CHEM 4450, ELEC 1110","PHYS 1010, MATH 5520, MATH 4420, MATH 1120, BIOL 4400","BUSI 5050, MKTG 5520, ACCT 2200, BUSI 4040, MKTG 1120, BUSI 2020",Portfolio submission
University of Hong Kong,3.1,6.1,4,"MECH 1100, ELEC 2220, ELEC 5550, ENGR 3030, ENGR 5050, CHEM 4450, CHEM 5560, ENGR 1010","MATH 4420, PHYS 1010, MATH 5520, PHYS 2020","FINA 5510, ACCT 1100, BUSI 1010, ACCT 2200, BUSI 2020, MKTG 3320, FINA 3310, BUSI 4040",Work experience preferred. Letter of recommendation from a professor. Community service
